time_date_string,user_id,source_app,language,is_user_default_profile,is_user_geo_enabled,country,possibly_sensitive,user_profile_background_color,user.profile_text_color,user_profile_link_color,is_truncated,display_text_range,user.statuses_count,user_friends_count,user_followers_count,user_lists_count,number_of_user_mentions_in_tweet,number_of_medias_in_tweet,number_of_urls_in_tweet
2019-01-20T00:59:23.151Z,47626686,Twitter for iPhone,und,FALSE,TRUE,United States,,0,FA038F,C72DCF,FALSE,,22890,252,237,9,0,0,0
2019-01-20T17:07:20.826Z,31487585,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,FALSE,C0DEED,333333,1DA1F2,FALSE,54,1888,295,80,2,0,1,0
2019-01-20T02:36:40.417Z,289152134,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,373C97,FALSE,,8730,335,249,5,0,0,0
2019-01-20T08:58:18.994Z,8.84E+17,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,F58EA8,FALSE,,11913,281,516,1,0,0,0
2019-01-20T15:50:05.618Z,1657164086,Twitter for iPhone,en,FALSE,TRUE,India,FALSE,0,0,7FDBB6,FALSE,0,143,63,19,0,0,1,0
2019-01-20T23:48:53.473Z,961900766,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,23153,469,774,2,0,0,0
2019-01-20T02:31:44.780Z,23010941,Twitter for iPhone,en,FALSE,TRUE,United States,,131516,333333,9999,FALSE,50,9496,592,353,29,1,0,0
2019-01-20T13:39:05.552Z,3221637291,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,34276,625,717,25,0,0,0
2019-01-20T00:27:29.351Z,778900057,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,140,3885,425,208,9,3,0,1
2019-01-20T01:04:50.850Z,6623822,Twitter for iPhone,en,FALSE,TRUE,United States,,131516,333333,9999,FALSE,29,48883,1219,993,85,1,0,0
2019-01-20T05:00:42.220Z,1380717900,Twitter for iPhone,en,TRUE,TRUE,United States,FALSE,C0DEED,333333,1DA1F2,FALSE,51,206,24153,54125,1454,0,1,0
2019-01-20T19:43:43.621Z,112595569,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,179,69,30,0,0,0,0
2019-01-20T21:26:19.176Z,2286995456,Twitter for iPad,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,38,3218,416,372,18,3,0,1
2019-01-20T12:44:34.380Z,7.81E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,99,4495,827,189,0,2,0,0
2019-01-20T22:51:23.972Z,3225785169,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,F5ABB5,FALSE,33,110,83,21,0,3,0,0
2019-01-20T04:02:10.549Z,403070945,Twitter for iPhone,en,FALSE,TRUE,United States,,BADFCD,0C3E53,FF0000,FALSE,12,6568,604,308,7,1,0,0
2019-01-20T23:35:00.933Z,433113941,Twitter for Android,en,TRUE,TRUE,India,,C0DEED,333333,1DA1F2,FALSE,29,9488,92,376,2,2,0,0
2019-01-20T06:39:36.663Z,1955164374,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,8283,2245,461,12,0,0,0
2019-01-20T04:27:58.405Z,25284667,Twitter for Android,en,FALSE,TRUE,United States,FALSE,1A1B1F,666666,2FC2EF,FALSE,0,32188,735,120551,263,3,1,0
2019-01-20T03:11:17.939Z,384721331,Twitter for Android,en,FALSE,TRUE,United States,,642D8B,3D1957,E81C4F,FALSE,,24682,902,933,21,0,0,0
2019-01-20T23:59:23.730Z,54204707,Twitter for iPhone,en,FALSE,TRUE,United States,,22330,333333,0084B4,FALSE,,4214,1457,1105,27,0,0,0
2019-01-20T06:48:11.266Z,7.69E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,33,50959,3826,3243,6,1,0,0
2019-01-20T00:06:32.235Z,32590073,Twitter for iPhone,en,FALSE,TRUE,United States,,FF6699,362720,B40B43,FALSE,,55851,3169,2780,14,0,0,0
